Month,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
02/01/2018 23:00,0.151719474,0.324491963,0.007016616,0.025627374,1.871271559,1.012556022,0,0,0.258091608,0.480392484
03/01/2018 00:00,0.597863532,0.283128218,0.001963761,0.024327658,1.570168261,1.649852682,0,0,0.152261085,0.417262071
03/01/2018 01:00,0.14623773,0.279115246,0.00123352,0.024700713,1.408377795,1.084470091,0,0,0.203136964,0.503035924
03/01/2018 02:00,0.134522697,0.265091239,0.000764576,0.024065352,1.053382704,1.175045445,0,0,0.20871963,0.4834623
03/01/2018 03:00,0.114044635,0.298618503,0.00095416,0.023499515,1.273924636,1.069965443,0,0,0.194813401,0.522277032
03/01/2018 04:00,0.129069246,0.393641945,0.000796251,0.022449538,1.238276424,1.077671974,0,0,0.151659147,0.471653011
03/01/2018 05:00,0.22547962,0.471143626,0.001668113,0.022743265,1.280201102,1.100212448,0,0,0.095894219,0.512340202
03/01/2018 06:00,0.131391739,0.354942998,0.001539502,0.023442897,1.414710168,1.00818919,0,0,0.092364991,0.46106597
03/01/2018 07:00,0.114821912,0.312472682,0.001660702,0.023229503,1.347627126,0.939155667,0,0,0.275084705,0.454904191
03/01/2018 08:00,0.154036571,0.327254923,0.000781816,0.023041028,1.228689797,0.798023762,0,0,0.228550398,0.470742253
03/01/2018 09:00,0.117881774,0.331457443,0.005305705,0.022943505,1.073269996,0.778127549,0,0,0.105005575,0.443117014
03/01/2018 10:00,0.097620574,0.244500672,0.005265983,0.022889836,1.172421143,1.139528546,0,0,0.067445672,0.429019291
03/01/2018 11:00,0.111305145,0.190895809,0.000519921,0.023956507,1.009680635,1.449661421,0,0,0.089541462,0.559632627
03/01/2018 12:00,0.698618851,0.219216429,0.000676485,0.023159345,1.066277657,1.352271284,0,0,0.119513526,0.620019514
03/01/2018 13:00,0.113970075,0.220480376,0.001710755,0.023400217,1.078027286,0.81589873,0,0,0.135484223,0.578075395
03/01/2018 14:00,0.125520465,0.179928225,0.005065455,0.026443484,1.022564626,0.896707224,0,0,0.164158591,0.559856858
03/01/2018 15:00,0.10932981,0.269913327,0.005404114,0.025255842,1.01194512,0.700827096,0,0,0.245806278,0.560513396
03/01/2018 16:00,0.138577906,0.23768313,0.003124456,0.022571091,1.266235641,0.790214845,0,0,0.509271143,0.54187492
03/01/2018 17:00,0.133831244,0.229004491,0.009070748,0.027180683,1.112735227,0.80587581,0,0,0.193229061,0.490508202
03/01/2018 18:00,0.113219997,0.225084359,0.00678342,0.028024198,1.203032164,0.821032743,0.001122249,0.004429762,0.242655271,0.169162929
03/01/2018 19:00,0.135777406,0.157840787,0.007356927,0.029761459,1.117063525,0.850327159,0.010184774,0.001795658,0.232852434,0.177648704
03/01/2018 20:00,0.122903667,0.140838978,0.005974733,0.02995133,0.937199139,0.873740743,0.01556485,0.001452351,0.256655932,0.255321419
03/01/2018 21:00,0.256660254,0.146943292,0.006672777,0.0330534,1.041749753,1.506171717,0.012901071,0.002142865,0.261058579,0.496709364
03/01/2018 22:00,0.142627896,0.193417052,0.010383101,0.031749729,1.115351522,1.496001926,0.009262421,0.004542152,0.182748868,0.46617218
03/01/2018 23:00,0.09799957,0.207614802,0.008401849,0.027466602,1.07319916,1.608232153,0.009880005,0.003410455,0.269533245,0.724279494
04/01/2018 00:00,0.089404027,0.477847111,0.006818556,0.025957936,1.038030547,2.015781138,0.008891636,0.003533547,0.152847341,0.678564542
04/01/2018 01:00,0.096555572,0.525508474,0.001445013,0.024493583,1.117850746,2.161352911,0.007557205,0.004561233,0.226592378,0.80872957
04/01/2018 02:00,0.113079577,0.410093089,0.00196653,0.023813594,1.347432938,1.487558438,0.008464536,0.000563886,0.189908459,0.694629464
04/01/2018 03:00,0.094554684,0.234617872,0.001308272,0.023120065,1.516982196,1.503640274,0.007860558,0.002430031,0.212384212,0.745208332
04/01/2018 04:00,0.084030732,0.377012357,0.000933992,0.02257095,1.555020811,1.540947046,0.009048821,0.000456818,0.167054824,0.732907549
04/01/2018 05:00,1.440723948,0.634315224,0.001309704,0.026075879,1.336723797,1.370981503,0.011820652,0.001777285,0.167814337,0.72090368
04/01/2018 06:00,1.898072375,0.822074758,0.004933338,0.023757661,1.166988905,1.322583818,0.013219997,0.005246761,0.156116126,0.85015214
04/01/2018 07:00,0.575619059,0.215321688,0.001399833,0.024618302,0.946206908,1.272537468,0.008840083,0.000322466,0.163588149,0.622848492
04/01/2018 08:00,0.100073689,0.275527483,0.00138321,0.023307254,0.84217106,1.140353631,0.016622614,0.010893194,0.149774033,0.609226023
04/01/2018 09:00,1.002256449,0.405892097,0.005181814,0.023637931,0.844063377,1.383999438,0.011311853,0.000317951,0.149349248,0.662590766
04/01/2018 10:00,0.170707313,0.297855344,0.000792246,0.025564953,0.826807063,1.503963407,0.007509752,0.000354148,0.103999077,0.767324644
04/01/2018 11:00,0.065900096,0.248259542,0.00541476,0.022077637,0.846893367,1.333727818,0.007527315,0.000312693,0.137699941,0.795527264
04/01/2018 12:00,0.080523293,0.26082857,0.005047382,0.025171308,1.047856788,1.427465409,0.007535761,0.001762268,0.159699339,0.9294111
04/01/2018 13:00,0.112730727,0.386726082,0.001958697,0.024337868,0.905433983,1.367755177,0.012889889,0.004939902,0.177114053,0.918128779
04/01/2018 14:00,0.129743884,0.175308954,0.004081572,0.024461863,1.615584468,1.270555437,0.008828188,0.001684199,0.22850413,0.849235479
04/01/2018 15:00,0.175260427,0.274787445,0.004742446,0.026526807,1.810798373,1.24578833,0.010341824,0.00214859,0.290585121,0.811270489
04/01/2018 16:00,0.123437193,0.24501296,0.005631343,0.031346345,2.255355307,1.378638957,0.010689543,0.001865124,0.233086539,0.831892563
04/01/2018 17:00,0.127608489,0.178563658,0.006006635,0.029221073,0.856828795,1.931767275,0.009976816,0.002737935,0.252047947,0.76751422
04/01/2018 18:00,0.576338272,0.435509877,0.005467326,0.032784712,0.785117367,2.346540868,0.019600645,0.008176064,0.247635712,0.754552467
04/01/2018 19:00,0.325491063,0.20150587,0.009205843,0.037867461,0.901677034,2.385191974,0.011164371,0.002232636,0.243218898,0.706796509
04/01/2018 20:00,0.327201302,0.147995971,0.005971455,0.032250696,0.859635556,1.683941227,0.009968526,0.001518717,0.257322831,0.942155799
04/01/2018 21:00,0.263682805,0.129363983,0.013644582,0.028257078,0.886464443,1.265395577,0.010345524,0.006907718,0.252862662,0.911290345
04/01/2018 22:00,0.163448278,0.223800881,0.008253922,0.027128443,1.094743242,1.155379797,0.010067559,0.003844182,0.262678025,0.82775834
04/01/2018 23:00,0.149886787,0.203995763,0.004974892,0.02848954,1.923979593,1.408093351,0.014430731,0.001667984,0.243669971,0.818260111
05/01/2018 00:00,0.187071547,0.171236439,0.007027217,0.023358096,1.329921677,2.230020451,0.008655349,0.010019136,0.160857168,0.482686138
05/01/2018 01:00,0.45301577,0.123556459,0.001185565,0.023542548,1.648802893,2.163131253,0.013574272,0.000713613,0.170376491,0.322665929
05/01/2018 02:00,0.226629265,0.124744089,0.001706585,0.022475535,1.666209608,2.462590762,0.009473103,0.000594921,0.166481435,0.30742627
05/01/2018 03:00,0.213579595,0.130547488,0.002855971,0.022907021,2.369377972,1.945393536,0.012633106,0.008157615,0.11248508,0.306594068
05/01/2018 04:00,0.204028806,0.251875368,0.006485423,0.027110579,1.142700331,2.581636445,0.013578294,0.006199625,0.096367889,0.306180552
05/01/2018 05:00,0.194960646,0.342067828,0.001400404,0.026696401,0.94246013,2.504890133,0.009108954,0.000415681,0.12256265,0.290078246
05/01/2018 06:00,0.195346792,0.114268225,0.001243944,0.022159754,0.859891966,2.793935145,0.008964382,0.00868885,0.119294176,0.247780405
05/01/2018 07:00,0.279866018,0.092654345,0.005187483,0.024685372,0.902043256,2.64038665,0.008881887,0.000299344,0.10065483,0.234177664
05/01/2018 08:00,0.286416309,0.211663875,0.000846254,0.027776625,0.868744898,2.626465154,0.00906945,0.000362921,0.090492023,0.291534333
05/01/2018 09:00,0.270692499,0.203903808,0.001360581,0.022669813,0.877157829,2.648708952,0.013190226,0.008528074,0.082110023,0.221311018
05/01/2018 10:00,0.234076474,0.334351699,0.015205122,0.027811847,0.959740634,2.583531212,0.013542338,0.000344568,0.113899558,0.282174871
05/01/2018 11:00,0.19049743,0.248119708,0.001458,0.022468869,0.89574438,2.598099682,0.011238038,0.000375331,0.078815651,0.238035561
05/01/2018 12:00,0.24369444,0.452887029,0.000939935,0.026031962,0.830502816,2.382386157,0.008941892,0.003207408,0.087478866,0.173098619
05/01/2018 13:00,0.12719256,0.278831063,0.004758851,0.023322324,0.828369719,2.457682687,0.008418535,0.00039689,0.080940869,0.160717391
05/01/2018 14:00,0.178236652,0.360123582,0.000700391,0.027050224,1.203240743,2.206657108,0.007725435,0.000585178,0.218832577,0.196339722
05/01/2018 15:00,0.168365121,0.194063161,0.001140432,0.022594783,1.751032312,1.534805021,0.01311286,0.006765512,0.296646139,0.206617971
05/01/2018 16:00,0.196742841,0.118667254,0.005575992,0.023706847,1.431410723,1.350944303,0.017069861,0.004492416,0.377884639,0.24568071
05/01/2018 17:00,1.746376898,0.239909425,0.001631017,0.02333189,1.514535836,1.283682587,0.010208779,0.008168422,0.379231624,0.400005303
05/01/2018 18:00,0.844425591,0.273020774,0.001224691,0.024800047,1.534837027,2.291332664,0.011357642,0.002861535,0.295698719,0.55453754
05/01/2018 19:00,0.153813746,0.651200925,0.001927235,0.02619105,1.41725551,1.424862119,0.010118585,0.006670643,0.743252596,0.493666475
05/01/2018 20:00,0.17537163,0.487062514,0.001185834,0.024630858,1.297569027,1.436540131,0.01207206,0.00358574,0.590981613,0.529955115
05/01/2018 21:00,0.303490328,0.249442621,0.005475832,0.023386314,1.441602632,1.511202307,0.009956908,0.00124716,0.215084226,0.780233475
05/01/2018 22:00,0.284683031,0.279545857,0.005268928,0.026985555,1.258152573,1.629482912,0.013514991,0.001035838,0.24557083,0.704265662
05/01/2018 23:00,0.138971876,0.24731633,0.000668054,0.027488665,0.967408981,1.91751724,0.014100659,0.000762576,0.13764541,0.572681523
06/01/2018 00:00,0.150615892,0.323237625,0.000671976,0.022574767,1.519170502,1.355597546,0.009664607,0.006413631,0.103202446,0.527287904
06/01/2018 01:00,0.148326945,0.16764277,0.000758488,0.023138142,1.771427493,1.386537305,0.014412212,0.009089277,0.224429086,0.490446681
06/01/2018 02:00,0.100356413,0.145550805,0.000756975,0.024172642,1.566218337,1.655891251,0.008741115,0.000500315,0.305456752,0.474074689
06/01/2018 03:00,0.134956687,0.178037387,0.00511113,0.025247329,1.07524178,1.9775296,0.009051264,0.006010082,0.244898839,0.54831021
06/01/2018 04:00,0.167939112,0.269292209,0.00181685,0.026908737,1.195224748,2.297315339,0.008588656,0.000377338,0.117784159,0.698317468
06/01/2018 05:00,0.156473086,0.337436412,0.001166247,0.028488724,1.268059647,2.629570351,0.008339716,0.000338044,0.312229061,0.575785197
06/01/2018 06:00,0.145926279,0.275870408,0.001450122,0.024316459,1.244858999,2.758849715,0.01279874,0.008684934,0.098109554,0.523355356
06/01/2018 07:00,0.141306461,0.317676724,0.000908912,0.029009532,1.138779515,2.485258368,0.01258943,0.000253568,0.095438879,0.485772019
