Month,L27,L28,L29,L30,L31,L32,L33,L34
03/01/2018 07:00,0.56285733,0.456288404,0.377575559,1.104511986,2.20300146,2.026738065,0.281062179,0.345404875
03/01/2018 08:00,0.508042138,0.571152993,0.763794272,0.362944558,1.869253065,3.001162846,0.301494443,0.17397864
03/01/2018 09:00,0.311100101,0.318939755,0.60490399,1.882450588,1.78441837,2.494971141,0.324826507,0.13915633
03/01/2018 10:00,0.186634213,0.603549363,0.960160412,1.262169774,4.646104115,2.68735805,0.253418603,0.41041696
03/01/2018 11:00,0.461451119,0.732271667,0.774111282,1.362951844,3.954342799,3.252254102,0.106182615,0.198445854
03/01/2018 12:00,0.22123066,0.814659015,0.965577659,0.658175718,4.213554564,2.983769735,0.185572387,0.262519734
03/01/2018 13:00,0.420122061,0.415937494,0.894547316,1.10282406,3.676088886,2.70901884,0.266214385,0.34471102
03/01/2018 14:00,0.733735844,0.515441964,1.030554971,1.293537112,3.685839805,2.703191497,0.340414105,0.306403597
03/01/2018 15:00,0.897904275,0.478885428,0.962523756,1.695771288,2.387989973,2.459347554,0.123172418,0.168179133
03/01/2018 16:00,0.881019522,0.526563676,0.806651193,3.572756446,2.480499428,2.571790228,0.03640468,0.288933759
03/01/2018 17:00,0.865317432,0.593400827,0.813863033,0.595770646,2.885507957,2.701845613,0.060476597,0.329426386
03/01/2018 18:00,0.832265474,0.227199675,0.814070255,0.766535742,2.825148965,2.976322503,0.076474153,0.359289037
03/01/2018 19:00,0.605811086,0.572137611,0.917499427,1.416596335,2.550222115,3.119993821,0.077572394,0.236740685
03/01/2018 20:00,0.449532004,0.161850966,0.893028448,0.709626573,2.738315898,2.994912277,0.063708325,0.281604979
03/01/2018 21:00,0.574108786,0.552383723,0.66132362,1.156071753,2.614940132,2.516344182,0.085643969,1.026243174
03/01/2018 22:00,0.514292634,0.2614979,1.381704257,0.484355828,2.825633239,2.256330163,0.143283312,1.441579511
03/01/2018 23:00,0.794307231,0.27380717,0.669792431,0.225127743,2.748019066,2.018394505,0.135762364,0.354352568
04/01/2018 00:00,0.772261086,0.333710186,0.386229237,1.551810432,3.46688377,1.666513304,0.116757146,0.369561994
04/01/2018 01:00,0.464239741,0.207532822,0.075979817,0.042193087,3.36207085,1.646384872,0.144815994,1.477591553
04/01/2018 02:00,0.344370608,0.220200871,0.13759236,0.160595551,3.369864971,1.512186999,0.256459127,0.585321066
04/01/2018 03:00,0.152678405,0.237692503,0.091834704,0.023637379,2.877732008,1.23984355,0.110350115,0.206807403
04/01/2018 04:00,0.198894822,0.211138767,0.121671094,0.278200289,2.916742404,1.568041861,0.082536906,0.23696127
04/01/2018 05:00,0.26118645,0.218037673,0.103405882,0.224043018,2.465212464,2.004582968,0.106410098,0.585837698
04/01/2018 06:00,0.511534499,0.248088637,0.04478852,0.291815398,2.81151381,1.993373381,0.298117523,0.130720801
04/01/2018 07:00,0.203561938,0.219597778,0.05756553,0.035841983,2.751470252,1.631329898,0.1967131,0.403613206
04/01/2018 08:00,0.354352185,0.306147899,0.126633835,0.626438247,3.064912116,1.962858169,0.206333183,0.515117454
04/01/2018 09:00,0.672662686,0.189053912,0.18272074,0.055971042,2.334926872,1.518450812,0.100110615,1.259022882
04/01/2018 10:00,0.463367756,0.401195704,0.49032947,0.778803876,2.722343235,1.907491225,0.399317453,0.322569815
04/01/2018 11:00,0.6201265,0.637007471,0.750313365,1.478212378,2.210321027,2.143759627,0.303384078,0.850840653
04/01/2018 12:00,0.936807376,0.786241714,0.623299533,2.444944917,2.666979268,2.032397562,0.197202067,0.659450609
04/01/2018 13:00,0.8781488,0.53997499,1.191373778,1.114361755,2.726994734,2.26699168,0.251942367,1.198533252
04/01/2018 14:00,0.917723876,0.646594152,0.319390631,0.231389749,2.415550907,3.526138985,0.115187919,0.68130004
04/01/2018 15:00,0.737309211,0.874046125,1.172170507,0.653051702,2.485339274,3.909142757,0.167025439,0.712884206
04/01/2018 16:00,0.845068602,0.676926925,0.780497347,1.199025915,2.83719257,4.863951631,0.167258471,0.382636504
04/01/2018 17:00,0.58721084,0.612581331,0.155435312,1.225216548,2.775405006,4.370573818,0.221492458,0.389980061
04/01/2018 18:00,0.480895134,0.59587606,0.101473433,1.067427314,2.864049502,2.213970468,0.254099855,0.719959404
04/01/2018 19:00,0.598168534,0.714766823,0.070140174,2.148757348,2.064110667,2.149622572,0.375584114,0.131167654
04/01/2018 20:00,0.691874838,0.243001291,0.587941134,1.108440629,2.236742305,2.554169545,0.32131867,0.465256187
04/01/2018 21:00,0.451208438,0.521333784,0.595601,0.786987725,2.366683818,2.739192372,0.125437304,0.499789073
04/01/2018 22:00,0.574861143,0.35329025,0.158882497,0.926666302,2.90595068,2.728922841,0.161748502,0.421210039
04/01/2018 23:00,0.585155736,0.484423756,0.211458249,1.579524392,2.769552673,2.872638135,0.139143113,0.105942639
05/01/2018 00:00,0.616376101,0.324347394,0.277262441,0.70614185,2.669738633,3.434783333,0.227800538,0.097915723
05/01/2018 01:00,0.648106747,0.343360777,0.367095904,0.424926341,3.04075407,3.82462495,0.204454451,0.339913474
05/01/2018 02:00,0.724990197,0.625616728,1.30390594,0.631831991,3.37189242,2.938773356,0.226313429,0.113751648
05/01/2018 03:00,0.708677572,0.637442881,1.488128314,0.273342927,3.120987845,2.662969269,0.386891936,0.162832056
05/01/2018 04:00,0.793963073,0.497454245,1.547654755,1.170135968,3.350026897,2.628773836,0.289806697,0.106501576
05/01/2018 05:00,0.650119938,0.954720876,0.792231296,0.870683172,3.712955585,3.072354247,0.276687986,0.065615895
05/01/2018 06:00,0.601632166,0.67832897,0.765851183,0.884397394,3.128451791,2.40160621,0.111269412,0.114441124
