Month,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
02/01/2018 15:00,1.233613028,0.783999628,3.84368E-07,3.84142E-07,1.78891249,2.408018019,0.009653568,0.059367858,0.07144564,0.392698532,0.108296503,0.144718887
02/01/2018 16:00,1.370229363,0.833023917,3.83151E-07,3.84475E-07,1.476380115,2.649379933,0.009854507,0.069024433,0.15663774,0.216805483,0.118920848,0.189673271
02/01/2018 17:00,1.918217159,1.290592605,3.8206E-07,3.84685E-07,1.177873059,2.386390152,0.011483574,0.065801918,0.284274158,0.234406586,0.192412392,0.199409175
02/01/2018 18:00,1.497497988,1.799741832,3.82523E-07,3.84028E-07,1.379816208,3.314209707,0.009676954,0.074885918,0.26064206,0.139289221,0.173477611,0.197821908
02/01/2018 19:00,1.645945433,0.712309096,3.83727E-07,3.83761E-07,1.577911593,4.192143033,0.007771654,0.065463511,0.110869581,0.083944764,0.113120347,0.214589564
02/01/2018 20:00,1.775956821,0.557688851,3.82269E-07,3.84356E-07,1.348104678,4.599094619,0.00982398,0.063473012,0.087892053,0.098289537,0.123709996,0.179641907
02/01/2018 21:00,2.499709782,0.729642171,3.83723E-07,3.8423E-07,1.992525214,4.050331404,0.00845021,0.071230078,0.192701096,0.246506294,0.106082555,0.143210319
02/01/2018 22:00,1.777286663,1.713915819,3.82582E-07,3.84973E-07,2.44700794,4.858582197,0.006531061,0.071155241,0.06320322,0.100838964,0.137538317,0.166239764
02/01/2018 23:00,1.595495509,1.631133146,3.82635E-07,3.8348E-07,2.511104759,3.774298454,0.005575389,0.043528715,0.066965257,0.272010946,0.102036273,0.190056487
03/01/2018 00:00,1.032211196,0.529754522,3.82891E-07,3.83819E-07,1.835758169,4.167879029,0.004169368,0.027115655,0.074557195,0.070782607,0.153987967,0.162305683
03/01/2018 01:00,1.140500666,1.209557721,3.83397E-07,3.82974E-07,2.011363084,3.507226494,0.004679329,0.026326243,0.12797549,0.074814255,0.136386506,0.20765171
03/01/2018 02:00,1.014664096,0.475331599,3.83082E-07,3.84071E-07,1.946966586,3.929573829,0.012395013,0.015936958,0.358761084,0.085266074,0.119724737,0.177968944
03/01/2018 03:00,0.758000413,2.417045768,3.84045E-07,3.8537E-07,1.933862296,4.110052344,0.003923108,0.020159774,0.44810682,0.124860815,0.117203423,0.146268182
03/01/2018 04:00,1.255855673,1.384457236,3.83277E-07,3.84821E-07,1.852779598,3.867213725,0.004267848,0.028480951,0.142943172,0.118591122,0.118658251,0.136949004
03/01/2018 05:00,1.228400055,1.424379938,3.82515E-07,3.84656E-07,1.725532929,3.510157284,0.004736397,0.013223472,0.216894345,0.138669862,0.111097486,0.151518789
03/01/2018 06:00,0.797632508,1.33000531,3.82593E-07,3.84164E-07,2.04785912,2.658985227,0.005083758,0.015181569,0.11889742,0.10864448,0.077336898,0.116329885
03/01/2018 07:00,1.078160106,1.570416973,3.82312E-07,3.83122E-07,1.658824383,2.426017976,0.005018175,0.0280193,0.032186077,0.082494525,0.09698564,0.129121489
03/01/2018 08:00,1.448818245,0.942497695,3.82607E-07,3.83242E-07,1.39377152,3.122701606,0.004656162,0.013120627,0.055411955,0.15507045,0.090459168,0.107412956
03/01/2018 09:00,1.363961713,2.21208602,3.82741E-07,3.81952E-07,1.686643242,2.553400255,0.004141053,0.012457575,0.021441582,0.228393405,0.135316738,0.106631172
03/01/2018 10:00,1.765028004,1.869973319,3.82495E-07,3.8342E-07,3.555999478,2.901707656,0.0028816,0.013781598,0.092953347,0.16481625,0.110082425,0.129755421
03/01/2018 11:00,1.882237868,2.110026337,3.8309E-07,3.83703E-07,3.651636896,3.054495898,0.004084424,0.022349107,0.140128874,0.323162251,0.135811167,0.383562095
03/01/2018 12:00,1.659254123,1.479622643,3.81764E-07,3.83914E-07,3.218933126,3.949748814,0.004037033,0.021431504,0.103188632,0.475378745,0.129654287,0.412075148
03/01/2018 13:00,1.744668232,1.532699489,3.8233E-07,3.82561E-07,2.944796342,2.87712091,0.010253617,0.029716141,0.063238041,0.270618006,0.133579022,0.406152251
03/01/2018 14:00,2.129939672,1.823178098,3.81197E-07,3.8372E-07,2.704256289,2.763161749,0.009763402,0.038578516,0.108020307,0.169825997,0.143494201,0.355702119
03/01/2018 15:00,2.313582429,2.176501732,3.83689E-07,3.84061E-07,1.970646636,3.24242975,0.010183237,0.055515116,0.116140404,0.110827174,0.15929896,0.369671792
03/01/2018 16:00,2.20485967,4.103657025,3.92101E-07,3.92383E-07,2.043396871,2.85080182,0.027797397,0.074819742,0.160875592,0.109571066,0.170708019,0.386205344
03/01/2018 17:00,2.130225855,1.197827733,3.81328E-07,3.82829E-07,2.344618201,3.034447087,0.01085089,0.077201614,0.155666691,0.112905958,0.314954532,0.412924787
