Month,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
01/01/2018 08:00,0.201673032,0.655987753,0.001117868,0.022009676,1.2766336,0.983890625,0.006804753,0.001567461,0.155459147,0.333791716,1.723816844,1.467932581,0.324836304,0.14172602,0.612700511,1.505475334,3.82772E-07,3.84046E-07,2.267691167,3.473653707,0.003842029,0.014192555,0.167872498,0.123195247,0.156970367,0.298788679,0.392640792,0.62100771,0.11092427,0.868311641,2.952570841,3.212705041,0.095757815,0.724165079
01/01/2018 09:00,0.187143682,0.416566716,0.000707085,0.022452826,1.182706223,0.908811154,0.011974667,0.000255075,0.165773777,0.276302467,1.37863627,1.386831766,0.277956924,0.113055929,0.495279615,1.096237763,3.82315E-07,3.83061E-07,1.920476173,2.959404292,0.003061979,0.012094009,0.117505266,0.184193124,0.167044261,0.278665961,0.272669314,0.562776818,0.124225568,0.518123933,2.323104987,3.054282134,0.184684017,0.36954839
01/01/2018 10:00,0.199179328,0.258927823,0.005132826,0.022920012,1.091153117,0.794417968,0.006460113,0.0002678,0.130641232,0.275451989,1.14779294,1.333559408,0.279276026,0.1215231,0.719383517,1.840170978,3.84542E-07,3.84974E-07,2.384590248,2.572573247,0.002360847,0.014582279,0.130886156,0.206578619,0.146803944,0.21659136,0.462365181,0.619088174,0.200632182,1.224285928,3.053875872,2.725291116,0.194797608,0.532514325
01/01/2018 11:00,0.192406952,0.353216301,0.000521783,0.021228987,0.99100093,0.761008046,0.006362367,0.000225164,0.052992536,0.272432336,1.18531224,1.23928695,0.246743472,0.056136449,0.438914843,0.715322645,3.83038E-07,3.8354E-07,1.953789423,2.550048175,0.003144897,0.012208209,0.315533769,0.116391682,0.140678778,0.205321422,0.248306453,0.228604638,0.107318085,0.471764225,2.570214762,2.831180774,0.221749426,0.219428422
01/01/2018 12:00,0.181432878,0.205899318,0.000749536,0.021375804,0.895324322,0.856745095,0.006662926,0.003117066,0.11214349,0.297425779,1.12762051,1.103439583,0.291628495,0.130442497,0.298256763,0.456882896,3.82741E-07,3.83717E-07,1.668226934,1.546619333,0.006956198,0.022940145,0.200718457,0.086248949,0.232849413,0.273549269,0.102056319,0.255696401,0.086450688,0.19872494,2.44564931,1.985199024,0.111539429,0.309637293
01/01/2018 13:00,0.165179231,0.333633505,0.000544668,0.021354901,0.883656705,0.811734032,0.007767522,0.000292412,0.078460725,0.29044326,1.217273959,1.083106341,0.288169878,0.083725704,0.507884153,0.667440102,3.83554E-07,3.83532E-07,1.59333412,1.939819137,0.003556344,0.012061897,0.16516688,0.116534047,0.196768751,0.221269995,0.195071819,0.419303561,0.209566911,0.236535092,2.19357578,2.074955617,0.040086646,0.243506612
01/01/2018 14:00,0.095220327,0.163039001,0.001618513,0.02244099,0.85208269,0.70436308,0.007941052,0.000299104,0.06829206,0.274965333,0.912526969,0.94806751,0.278573277,0.06651567,0.323412436,0.31739095,3.84703E-07,3.83638E-07,1.435643919,1.836076438,0.003411174,0.016151569,0.107532773,0.195301181,0.191979287,0.214795544,0.087275894,0.145697542,0.132285006,0.170667105,1.978020035,2.518310114,0.120567032,0.243145447
01/01/2018 15:00,0.192537295,0.126262872,0.001351621,0.021999493,0.864774728,0.842199377,0.006827298,0.000296887,0.095603085,0.255694802,1.063429532,1.095073546,0.234049228,0.079884064,0.333000305,0.327783405,3.82559E-07,3.83982E-07,1.533378996,1.598413283,0.004135775,0.011528972,0.055779194,0.308302057,0.194570712,0.252050177,0.118285735,0.265930895,0.099173439,0.040226986,2.055972195,2.195370941,0.063670405,0.176225201
01/01/2018 16:00,0.142374054,0.202054656,0.001500327,0.021796629,0.867019067,0.70978954,0.012283704,0.000605952,0.12418492,0.273707894,0.959614016,1.046759282,0.282519198,0.09393526,0.194119795,0.224748847,3.83078E-07,3.84394E-07,1.782656988,1.745853268,0.003277291,0.012663174,0.114635949,0.540042546,0.182993902,0.26131388,0.057915406,0.178517374,0.031833341,0.049713919,2.799887349,1.899771277,0.059028375,0.657817504
01/01/2018 17:00,0.101155351,0.193327841,0.005135296,0.022096878,0.778109122,0.62741015,0.006765427,0.004310997,0.105065479,0.252822309,0.885216715,0.942136014,0.254714078,0.09870077,0.335044908,0.227675002,3.84358E-07,3.83079E-07,1.391227953,1.915086061,0.002989297,0.010621347,0.086068397,0.255930014,0.196037582,0.266495702,0.076526076,0.190507441,0.165955715,0.034638357,1.854717683,1.945257866,0.100823788,0.122268086
01/01/2018 18:00,0.117808665,0.179763284,0.001444182,0.022225387,0.921195196,0.685206216,0.006574477,0.002050334,0.080030148,0.27659906,0.929584407,1.075464154,0.25290446,0.082177947,0.243708552,0.164867218,3.82765E-07,3.83354E-07,1.286506598,1.699305903,0.003907935,0.021474896,0.071607012,0.319382733,0.204820759,0.27769653,0.061837525,0.126735288,0.091071334,0.027308714,1.65526522,1.927337549,0.068039337,0.486118705
01/01/2018 19:00,0.269674849,0.186502516,0.001375105,0.022231187,0.928931151,0.639322341,0.017513257,0.001866905,0.089273552,0.235742628,0.892717067,1.203774793,0.229853013,0.088718174,0.47793089,0.394988672,3.83238E-07,3.83439E-07,1.313678304,1.978659987,0.005728445,0.015017371,0.132262878,0.198097114,0.200021627,0.255537989,0.121903072,0.272768849,0.274936134,0.119138233,1.777156342,1.90274978,0.100789494,0.84527597
01/01/2018 20:00,0.160276982,0.201850153,0.00183009,0.02242978,1.029514636,0.792812605,0.00672974,0.000486495,0.134713336,0.617818163,1.019111612,1.195521074,0.600827218,0.129063314,0.234788739,0.384439879,3.84298E-07,3.84178E-07,1.054465848,1.752535387,0.003902382,0.01357978,0.356207513,0.201192357,0.146130198,0.236056133,0.06059299,0.342379192,0.065332885,0.034621329,1.5565547,1.563371427,0.054346833,0.216687706
01/01/2018 21:00,0.177833633,0.276824875,0.002189625,0.024275865,0.948753401,0.858920583,0.006843575,0.00241165,0.092323739,0.675585823,1.196906118,1.151570762,0.660627732,0.094374265,0.533359718,0.476371798,3.84424E-07,3.8417E-07,1.178510416,1.580826209,0.002298836,0.017068503,0.414668107,0.348338446,0.171839467,0.19868815,0.330773545,0.421150235,0.117192011,0.045484187,1.754639309,1.491669176,0.121287943,0.55608189
01/01/2018 22:00,0.191223797,0.274097181,0.001408175,0.025549172,0.990119389,0.705183481,0.006823871,0.000399081,0.053174443,0.563186137,1.061514225,1.204098929,0.551506291,0.053772131,0.593729884,0.270528194,3.82959E-07,3.83806E-07,1.534877672,1.731435017,0.003596706,0.01100978,0.082749554,0.526322583,0.156294701,0.130930974,0.42369593,0.250532062,0.116959412,0.009193734,1.524868925,1.691870703,0.14940542,0.33931729
01/01/2018 23:00,0.157075634,0.257179425,0.001345647,0.023655134,0.919398318,0.668188319,0.007144203,0.001892761,0.048254169,0.52651414,0.979844668,1.092526297,0.533221907,0.048010039,0.708146859,0.248067066,3.82695E-07,3.83841E-07,1.386844763,1.529159521,0.002682866,0.01454559,0.072489128,0.564249845,0.130992446,0.09781921,0.40591069,0.12450662,0.249417775,0.107336569,1.605493665,2.032720216,0.100559493,0.101705123
02/01/2018 00:00,0.144326754,0.246610804,0.005682545,0.021540935,0.961367853,0.695077941,0.006927617,0.000289524,0.093715673,0.501577203,1.038700714,1.150224573,0.500069671,0.079942844,0.607927722,2.785908968,3.83994E-07,3.83178E-07,1.974055321,1.87924108,0.003089279,0.022641303,0.05563015,0.283268677,0.178234047,0.112986729,0.251590748,1.248923649,0.247968288,1.533037857,2.377136225,2.174629723,0.151631057,0.563450095
02/01/2018 01:00,0.496696236,0.25472862,0.001001777,0.022957294,0.932620725,0.580685362,0.015031584,0.001730866,0.108018389,0.498279869,0.974442376,1.486855113,0.493357371,0.108512369,0.757537142,2.406816554,3.83763E-07,3.84984E-07,2.500245894,2.637605074,0.003880869,0.012572956,0.094261139,0.24264464,0.201172624,0.148830562,0.482511187,0.804654377,0.178115658,1.594312591,3.063352429,2.441291744,0.218254081,0.571815122
02/01/2018 02:00,0.147825461,0.490332614,0.001560148,0.022321509,0.907910656,0.694162771,0.006820721,0.000374916,0.123793079,0.518101401,1.258811596,1.089852052,0.471988741,0.114883454,0.894123778,2.18312758,3.82727E-07,3.84244E-07,2.350121325,2.324917744,0.006898108,0.012024699,0.202601655,0.148790304,0.152236396,0.082302285,0.474125188,0.291314028,0.356995661,1.881705594,2.389766991,2.969346989,0.282740218,0.17159373
02/01/2018 03:00,0.14075839,0.501325962,0.001426688,0.021877333,0.89329733,0.708027941,0.00826665,0.000467661,0.102273503,0.561437335,1.292353411,1.069709266,0.553918153,0.075996367,1.207532891,0.772541925,3.82216E-07,3.84831E-07,2.171111727,1.875933043,0.004505045,0.018256675,0.621562461,0.193079242,0.156026822,0.154023065,0.50915169,0.20313883,0.606823987,0.565224964,2.841202688,2.312105175,0.093727208,0.11870131
02/01/2018 04:00,0.318860126,0.213073314,0.000917302,0.021650716,0.794699115,1.011090803,0.008183432,0.000361091,0.114591564,0.558641199,1.298845782,1.122607572,0.552685718,0.10397594,0.976722601,2.697284989,3.83184E-07,3.84275E-07,2.339972037,2.485883362,0.00413852,0.016634277,0.167305532,0.234366771,0.128217339,0.156902746,0.483090757,0.768940402,0.447642892,1.928183015,2.711135244,3.048715625,0.232524872,0.177010272
02/01/2018 05:00,0.172651613,0.158945832,0.005521776,0.021799876,0.828631889,0.960422481,0.008060421,0.003370914,0.082151287,0.626330522,1.194988161,1.047253086,0.619504089,0.083997436,1.00865257,2.391690736,3.83697E-07,3.84075E-07,2.270621768,2.123719407,0.005016898,0.010923184,0.199514769,0.231219511,0.164459082,0.171912096,0.405724945,0.631755508,0.504799097,1.759147243,2.891116715,2.618336597,0.110177281,0.125952878
02/01/2018 06:00,0.163238192,0.388198575,0.002067326,0.022171278,0.746327161,0.948628747,0.008082249,0.004584284,0.070920119,0.588947274,1.414329747,0.947310608,0.586058343,0.075192652,1.320145838,1.966830255,3.82684E-07,3.83621E-07,2.138327392,2.10883408,0.008616415,0.021663622,0.283454591,0.296730697,0.123279554,0.123736637,0.692623145,0.684927046,0.566757385,1.266344452,3.245237903,2.78782246,0.148087074,0.510643784
02/01/2018 07:00,0.313261326,0.430042929,0.001126982,0.022446652,0.755373386,0.772370894,0.013622046,0.000323178,0.12005526,0.590117481,1.309222553,1.100417657,0.570634794,0.109488851,1.488109793,0.655426234,3.83333E-07,3.83674E-07,1.498317154,2.34069328,0.004971151,0.01066912,0.158150999,0.190358271,0.094121877,0.143141986,0.73721065,0.333478912,0.676933265,0.317810475,3.406550667,3.220702209,0.090185593,1.237506281
02/01/2018 08:00,0.187042255,0.276526222,0.000535649,0.022242827,0.837626961,0.589902804,0.008582837,0.000315997,0.078881798,0.583500921,0.944702768,1.076166996,0.574306215,0.084480879,1.37881453,0.561748452,3.82696E-07,3.85064E-07,1.65358792,2.607389015,0.005360195,0.012060557,0.078331722,0.133347093,0.133935035,0.10608143,0.499803535,0.266726594,0.788259447,0.296314989,1.997590592,2.754516429,0.156324676,0.526687527
02/01/2018 09:00,0.145227524,0.167882942,0.001198478,0.022997412,0.820344338,0.546271157,0.008224043,0.00026711,0.101912735,0.590615407,0.841527687,1.00791912,0.583438067,0.104739038,0.913524467,1.113887586,3.8266E-07,3.83878E-07,1.728413588,2.194043412,0.00521487,0.017007811,0.039796975,0.194175922,0.097226681,0.162744438,0.287087004,0.173358962,0.49287548,0.939818493,1.485951086,2.457950993,0.150187598,0.340595124
02/01/2018 10:00,1.085794255,0.171511289,0.005195491,0.022752053,0.865727399,0.761288827,0.008114699,0.003614377,0.10027882,0.612744641,0.987502092,2.011300022,0.601518683,0.093325436,1.14282297,1.717835819,3.82753E-07,3.83812E-07,1.624906349,3.428037056,0.004738553,0.015370802,0.064677188,0.195826253,0.090130158,0.150398971,0.463333921,0.792279994,0.51000559,0.926415258,2.504248555,2.638890131,0.1159102,0.667417955
02/01/2018 11:00,0.223650395,0.154206612,0.000762697,0.021962509,1.038049405,0.71725458,0.010303341,0.001751633,0.108184905,0.538802892,0.961582415,1.311142752,0.548773244,0.085663342,0.890571993,0.917685564,3.821E-07,3.83031E-07,1.524349207,3.428193034,0.007825922,0.024752293,0.122242278,0.258566407,0.112114015,0.126018099,0.422318037,0.365442022,0.359549317,0.533686778,2.240731962,3.610024485,0.080181536,0.647949333
02/01/2018 12:00,0.232521199,0.303287437,0.00032139,0.021895555,0.82890682,0.745776917,0.008183793,0.001858214,0.087432463,0.472216113,0.936030656,1.078848247,0.456698497,0.09595454,1.156638621,1.517954273,3.83724E-07,3.84425E-07,2.299542818,5.047479793,0.006570395,0.018532511,0.22232853,0.232612888,0.127653289,0.127320733,0.377591326,0.85786245,0.722750309,0.649592209,2.551912369,4.955631058,0.12539021,0.73931499
